d1,d2,d3,d5,d11,d12,d13,d18,E,Smax(Mpa)
32.62765152,72.40318182,86.4825,2.412045455,8.495833333,86.56159091,6.506818182,3.751132511,54020.72282,88.22036191
31.14810606,76.97287879,75.22386364,2.303712121,13.09583333,85.53568182,5.154090909,5.524343356,52943.02292,46.91247174
27.62689394,77.78136364,79.74704545,1.838863636,9.8375,114.4829545,7.668636364,1.794204514,69320.52802,287.8638735
32.61704545,75.86560606,73.70204545,3.938560606,15.17916667,83.87204545,6.073181818,4.454797741,57677.83561,51.50454176
33.37537879,70.28530303,70.44704545,2.260378788,7.895833333,114.7047727,4.938636364,5.763693623,58366.85686,63.87810366
30.88825758,79.45984848,77.63340909,4.044924242,18.32083333,91.99613636,5.729545455,2.441143619,53367.036,126.0437343
29.67386364,80.32984848,78.15477273,2.79219697,11.92083333,102.6434091,7.199545455,3.315695241,53985.3884,108.3272484
27.97159091,72.98318182,86.03159091,3.916893939,13.2375,115.2870455,5.800454545,4.708506892,62235.97619,90.86339676
31.20113636,78.06257576,84.65068182,3.974015152,11.6125,110.7675,7.840454545,2.214088523,74320.34889,160.0489387
27.63219697,78.39651515,86.41204545,2.591287879,9.004166667,88.03113636,7.919545455,2.311099704,55487.10138,170.8057867
28.02992424,69.4680303,76.67522727,3.457954545,11.60416667,85.89613636,5.718636364,6.487418978,58296.18802,46.85127669
26.57689394,72.49106061,70.16522727,2.396287879,11.77916667,82.45795455,6.269545455,5.367315212,55964.11609,68.67863536
31.94356061,69.42409091,83.59386364,3.420530303,17.24583333,110.4902273,7.851363636,2.256266256,57624.83398,125.7948572
28.55492424,75.38227273,87.1025,4.058712121,14.2875,106.3588636,5.145909091,4.786120253,54268.06378,59.61468068
32.86098485,69.925,83.66431818,3.826287879,16.02916667,87.55977273,5.451363636,5.521661132,57907.50936,40.37585655
26.72007576,80.57590909,79.91613636,2.900530303,12.89583333,101.5065909,6.075909091,3.31644574,60522.25667,113.9694358
28.22613636,78.75681818,75.06886364,3.639166667,15.97083333,103.3643182,7.395909091,5.967999877,53667.37859,73.22527156
32.79734848,71.73530303,76.77386364,3.101439394,13.3625,101.8947727,5.124090909,3.829100402,61953.30081,69.68457408
30.05037879,71.62106061,81.93113636,3.085681818,14.47083333,84.48204545,7.949545455,3.578598875,75592.38812,83.20467181
28.32689394,73.80045455,77.36568182,2.786287879,9.104166667,93.85386364,7.524090909,4.087519153,74938.70129,97.24348469
28.99507576,73.70378788,84.29840909,4.155227273,12.30416667,107.4125,6.992272727,3.981581084,57607.16677,86.62382322
27.48371212,79.16106061,80.80386364,2.482954545,14.7375,103.8634091,4.785909091,4.519764417,60645.92715,69.79413697
28.24204545,77.44742424,79.08477273,2.094924242,16.92083333,106.6915909,8.135,5.81801628,65928.4234,74.89599872
31.22765152,70.46984848,84.50977273,2.506590909,10.87916667,89.52840909,6.209545455,5.253916606,68119.15764,53.66114069
28.92083333,78.85348485,69.70022727,3.343712121,18.3625,102.8652273,5.844090909,4.865403274,56794.47504,85.13626003
28.54431818,70.505,80.29659091,3.735681818,17.47916667,110.1297727,5.345,2.379778589,58172.51754,129.4793135
29.01098485,71.23439394,85.53840909,2.240681818,10.79583333,115.7306818,6.425,3.943565667,72959.9736,92.67995109
26.90037879,74.89015152,82.53704545,3.550530303,12.0375,85.36931818,7.022272727,4.105210144,76016.4012,80.29161284
32.67007576,70.73348485,75.19568182,3.004924242,10.42083333,88.89068182,4.766818182,4.07827397,59638.89609,61.86880078
28.97386364,80.12772727,85.18613636,3.613560606,16.6125,94.76886364,7.335909091,4.488237014,54144.3933,70.33289164
30.74507576,78.92378788,78.08431818,4.263560606,17.77916667,93.77068182,7.985,3.532757229,73189.64735,98.26881602
31.92234848,76.24348485,77.19659091,4.09219697,13.75416667,97.43068182,7.755909091,4.606147143,66476.10696,62.22385735
32.0125,78.01863636,75.57613636,2.154015152,13.47083333,83.59477273,7.235,5.151920201,63349.01052,77.6062144
31.04734848,78.12409091,83.11477273,2.861136364,13.62916667,85.17522727,6.782272727,2.309303998,61794.2959,105.5818818
27.64280303,80.40015152,78.1125,3.093560606,13.52083333,104.6120455,7.330454545,2.238736248,74073.00793,194.137903
32.59583333,80.01348485,83.56568182,3.225530303,11.10416667,90.6375,7.237727273,5.240693975,59426.88956,55.94209949
28.79886364,72.30651515,76.15386364,2.683863636,8.695833333,90.13840909,6.899545455,5.304634432,75645.38975,68.29654016
30.66022727,79.33681818,78.78886364,3.706136364,16.95416667,102.4493182,8.080454545,4.416563453,64638.71696,83.85957053
29.58371212,70.34681818,80.63477273,1.84280303,15.1375,95.60068182,4.955,3.225930544,74903.36687,87.10871405
28.15189394,70.66318182,71.01068182,2.053560606,11.07083333,87.17159091,7.971363636,4.408461689,75097.7062,72.62866015
27.97689394,75.41742424,70.58795455,2.612954545,18.22083333,91.5525,6.591363636,3.441064987,62306.64504,128.1364959
26.87916667,74.40681818,77.99977273,3.63719697,10.4125,109.0206818,6.002272727,2.301724252,68030.82158,176.1176189
30.24128788,76.75318182,72.20840909,1.903863636,12.77916667,92.24568182,5.609545455,2.370460165,54374.06705,118.514615
31.56704545,75.92712121,75.6325,3.712045455,14.99583333,101.0075,6.365,3.802994086,75274.37831,68.82886092
29.02159091,69.45924242,82.67795455,3.869621212,11.1875,110.5179545,7.960454545,4.305478803,68083.82321,96.99833155
31.30189394,71.35742424,77.25295455,3.875530303,10.24583333,96.32159091,6.059545455,5.6717128,66741.11514,49.96560425
31.38143939,76.50712121,81.50840909,4.086287879,14.30416667,91.35840909,8.159545455,5.912994608,59515.22561,45.89266228
30.08219697,80.68136364,76.8725,3.123106061,7.6625,92.38431818,7.783181818,2.505912162,68772.84446,171.6803535
26.7625,79.50378788,73.44840909,3.983863636,16.22083333,109.9356818,6.569545455,4.068565689,67854.14946,136.0156933
28.10416667,73.37863636,83.03022727,2.5125,10.94583333,115.2038636,6.441363636,3.525161959,73048.30966,114.9039208
28.25265152,71.42772727,79.78931818,3.9425,11.89583333,98.59522727,4.794090909,3.097615993,69355.86244,116.341577
29.80643939,79.80257576,80.50795455,2.027954545,13.84583333,92.71704545,7.510454545,6.274952927,66405.43812,48.14181705
31.84810606,69.30106061,70.85568182,3.40280303,16.9875,100.3975,6.765909091,4.766031057,62129.97292,60.02108375
31.39204545,73.78287879,77.50659091,2.538106061,14.0625,99.37159091,7.344090909,4.017266043,61122.94186,67.90407911
30.23068182,77.59681818,70.68659091,2.000378788,17.69583333,114.8711364,7.625,3.971116568,66705.78071,173.0614464
28.8094697,75.48772727,81.5225,3.820378788,7.7375,108.3552273,7.019545455,4.730323968,60133.57802,77.8704945
32.31477273,76.89378788,82.10022727,2.025984848,7.5875,110.1020455,7.286818182,4.481896171,53561.37532,90.52711479
31.18522727,74.33651515,85.0875,4.269469697,17.3125,112.9302273,5.402272727,2.717411217,58384.52407,115.154303
32.33068182,70.64560606,84.67886364,4.0075,17.1625,111.8488636,6.861363636,6.2397083,55239.76042,47.08343469
30.4375,76.11166667,87.59568182,2.831590909,13.37916667,113.1797727,5.001363636,5.24724024,62907.33023,54.0212905
33.03598485,69.20439394,82.17068182,3.763257576,7.970833333,85.31386364,5.205909091,4.430355324,56282.1259,65.77701908
28.94734848,71.8319697,81.22659091,2.652348485,11.25416667,94.63022727,7.698636364,2.575482692,68295.82975,125.366488
27.41477273,78.70409091,79.69068182,1.708863636,14.22083333,95.07386364,7.537727273,3.390665442,54762.74571,104.8891137
30.38977273,72.33287879,74.97022727,1.982651515,14.54583333,101.7284091,5.126818182,5.077776327,58225.51917,56.95240461
27.52613636,79.17863636,80.62068182,2.0575,7.8625,94.10340909,7.371363636,6.329385868,54992.41946,69.80081058
27.85492424,80.63742424,72.89886364,2.656287879,14.9125,103.0593182,5.694090909,2.708790137,60380.91898,194.5727375
29.11704545,75.25924242,75.3225,1.779772727,16.09583333,89.25113636,7.761363636,2.955461445,55292.76205,110.8984313
